,Borough,Neighborhood,Latitude,Longitude
0,Bronx,Wakefield,40.89470518,-73.84720052
1,Bronx,Co-op City,40.87429419,-73.82993911
2,Bronx,Eastchester,40.88755568,-73.82780645
3,Bronx,Fieldston,40.89543743,-73.9056426
4,Bronx,Riverdale,40.89083449,-73.91258546
5,Bronx,Kingsbridge,40.88168737,-73.90281799
7,Bronx,Woodlawn,40.89827261,-73.86731497
8,Bronx,Norwood,40.87722416,-73.87939074
9,Bronx,Williamsbridge,40.88103888,-73.85744643
10,Bronx,Baychester,40.86685811,-73.8357976
11,Bronx,Pelham Parkway,40.8574135,-73.85475564
12,Bronx,City Island,40.8472467,-73.78648845
13,Bronx,Bedford Park,40.87018516,-73.88551218
14,Bronx,University Heights,40.85572708,-73.91041596
15,Bronx,Morris Heights,40.84789793,-73.91967159
16,Bronx,Fordham,40.8609968,-73.89642656
17,Bronx,East Tremont,40.84269616,-73.88735618
18,Bronx,West Farms,40.83947506,-73.87774475
19,Bronx,High  Bridge,40.83662301,-73.92610209
20,Bronx,Melrose,40.81975437,-73.90942161
21,Bronx,Mott Haven,40.80623875,-73.91609987
22,Bronx,Port Morris,40.80166363,-73.91322139
23,Bronx,Longwood,40.81509905,-73.8957882
24,Bronx,Hunts Point,40.80972988,-73.88331506
25,Bronx,Morrisania,40.82359199,-73.90150649
26,Bronx,Soundview,40.8210122,-73.8657461
27,Bronx,Clason Point,40.80655112,-73.85414416
28,Bronx,Throgs Neck,40.81510926,-73.81635002
29,Bronx,Country Club,40.84424594,-73.82409927
30,Bronx,Parkchester,40.83793782,-73.85600311
31,Bronx,Westchester Square,40.8406195,-73.84219408
32,Bronx,Van Nest,40.84360847,-73.86629918
33,Bronx,Morris Park,40.84754906,-73.85040178
34,Bronx,Belmont,40.8572771,-73.88845196
35,Bronx,Spuyten Duyvil,40.88139498,-73.91719048
36,Bronx,North Riverdale,40.90854283,-73.90453055
37,Bronx,Pelham Bay,40.85064141,-73.83207378
38,Bronx,Schuylerville,40.82657952,-73.82620276
39,Bronx,Edgewater Park,40.82198612,-73.81388514
40,Bronx,Castle Hill,40.81901438,-73.8480273
41,Bronx,Olinville,40.87137078,-73.86332362
42,Bronx,Pelham Gardens,40.86296562,-73.84161195
43,Bronx,Concourse,40.83428381,-73.91558942
44,Bronx,Unionport,40.8297743,-73.85053524
45,Bronx,Edenwald,40.8845613,-73.84808272
267,Bronx,Claremont Village,40.83142834,-73.90119903
268,Bronx,Concourse Village,40.82478049,-73.91584653
269,Bronx,Mount Eden,40.84382618,-73.91655552
